id;stavka;ukupan_iznos;procenat;prihod_stanovnik;grad;grupa_prihoda;godina;entitet;test
1;Porezi na dohodak i dobit;7467.17;0.035%;0.13;Gradiška;POREZNI PRIHODI;2011;rs;
2;Porez na licna primanja i prihode od samostalne djelatnosti;2101158.89;9.830%;35.41;Gradiška;POREZNI PRIHODI;2011;rs;
3;Porez na imovinu ;1085725.65;5.080%;18.30;Gradiška;POREZNI PRIHODI;2011;rs;
4;Domaći porezi na dobra i usluge;26164.35;0.122%;0.44;Gradiška;POREZNI PRIHODI;2011;rs;
5;Prihodi od neizravnih poreza ;11184966.39;52.329%;188.51;Gradiška;POREZNI PRIHODI;2011;rs;
6;Ostali porezni prihodi ;8814.87;0.041%;0.15;Gradiška;POREZNI PRIHODI;2011;rs;
7;Prihodi od poduzetničkih aktivnosti i imovine ;874824.24;4.093%;14.74;Gradiška;NEPOREZNI PRIHODI;2011;rs;
8;Naknade i pristojbe od pružanja javnih usluga;4851159.66;22.696%;81.76;Gradiška;NEPOREZNI PRIHODI;2011;rs;
9;Novčane kazne ;73114.00;0.342%;1.23;Gradiška;NEPOREZNI PRIHODI;2011;rs;
10;Ostali neporezni prihodi ;159216.13;0.745%;2.68;Gradiška;NEPOREZNI PRIHODI;2011;rs;
11;Primljeni tekući transferi od inostranih vlada i međunarodnih organizacija ;;;0.00;Gradiška;TRANSFERI I DONACIJE;2011;rs;
12;Primljeni tekući transferi od ostalih razina vlasti;188257.38;0.881%;3.17;Gradiška;TRANSFERI I DONACIJE;2011;rs;
13;Donacije;171602.70;0.803%;2.89;Gradiška;TRANSFERI I DONACIJE;2011;rs;
14;Kapitalni primici od prodaje stalnih sredstava;484625.77;2.267%;8.17;Gradiška;KAPITALNI PRIMICI;2011;rs;
15;Primljeni kapitalni transferi od inostranih vlada i međunarodnih organizacija;;0.000%;0.00;Gradiška;KAPITALNI PRIMICI;2011;rs;
16;Kapitalni transferi od ostalih razina vlasti;;0.000%;0.00;Gradiška;KAPITALNI PRIMICI;2011;rs;
17; Primici od finansijske imovine;157019.28;0.735%;2.65;Gradiška;KAPITALNI PRIMICI;2011;rs;
